Frequency (Hz)	Sound Pressure Magnitude (Pa)
10	0.006476
30	0.016074
50	0.018310
70	0.012088
90	0.001435
110	0.011834
130	0.018251
150	0.016238
170	0.006780
190	0.006170
210	0.015906
230	0.018363
250	0.012337
270	0.001510
290	0.011577
310	0.018187
330	0.016397
350	0.007082
370	0.005864
390	0.015732
410	0.018410
430	0.012583
450	0.001649
470	0.011317
490	0.018116
510	0.016550
530	0.007383
550	0.005557
570	0.015553
590	0.018451
610	0.012824
630	0.001839
650	0.011053
670	0.018040
690	0.016698
710	0.007682
730	0.005249
750	0.015369
770	0.018487
790	0.013062
810	0.002065
830	0.010786
850	0.017958
870	0.016841
890	0.007980
910	0.004942
930	0.015180
950	0.018516
970	0.013295
990	0.002315
