Depth (m)	Sound Speed (m/s)
0	1540.4587
10	1539.3831
20	1538.3264
30	1537.2886
40	1536.2691
50	1535.2678
60	1534.2844
70	1533.3186
80	1532.3701
90	1531.4387
100	1530.5241
110	1529.6261
120	1528.7444
130	1527.8787
140	1527.0288
150	1526.1946
160	1525.3756
170	1524.5717
180	1523.7827
190	1523.0084
200	1522.2484
210	1521.5027
220	1520.7709
230	1520.0529
240	1519.3484
250	1518.6573
260	1517.9794
270	1517.3143
280	1516.6621
290	1516.0224
300	1515.3950
310	1514.7798
320	1514.1766
330	1513.5852
340	1513.0054
350	1512.4371
360	1511.8800
370	1511.3340
380	1510.7990
390	1510.2747
400	1509.7611
410	1509.2578
420	1508.7648
430	1508.2820
440	1507.8091
450	1507.3460
460	1506.8926
470	1506.4487
480	1506.0142
490	1505.5889
500	1505.1727
510	1504.7654
520	1504.3670
530	1503.9772
540	1503.5960
550	1503.2232
560	1502.8586
570	1502.5023
580	1502.1539
590	1501.8135
600	1501.4808
610	1501.1559
620	1500.8385
630	1500.5285
640	1500.2258
650	1499.9304
660	1499.6421
670	1499.3607
680	1499.0863
690	1498.8186
700	1498.5576
710	1498.3032
720	1498.0553
730	1497.8138
740	1497.5785
750	1497.3494
760	1497.1264
770	1496.9094
780	1496.6983
790	1496.4930
800	1496.2935
810	1496.0996
820	1495.9112
830	1495.7283
840	1495.5508
850	1495.3786
860	1495.2117
870	1495.0498
880	1494.8931
890	1494.7413
900	1494.5944
910	1494.4524
920	1494.3151
930	1494.1825
940	1494.0545
950	1493.9311
960	1493.8122
970	1493.6976
980	1493.5874
990	1493.4815
1000	1493.3798
1010	1493.2823
1020	1493.1888
1030	1493.0993
1040	1493.0138
1050	1492.9322
1060	1492.8545
1070	1492.7805
1080	1492.7102
1090	1492.6436
1100	1492.5806
1110	1492.5212
1120	1492.4653
1130	1492.4128
1140	1492.3637
1150	1492.3180
1160	1492.2755
1170	1492.2363
1180	1492.2003
1190	1492.1674
1200	1492.1376
1210	1492.1109
1220	1492.0872
1230	1492.0664
1240	1492.0485
1250	1492.0335
1260	1492.0213
1270	1492.0119
1280	1492.0053
1290	1492.0013
1300	1492.0000
1310	1492.0013
1320	1492.0052
1330	1492.0116
1340	1492.0205
1350	1492.0318
1360	1492.0456
1370	1492.0618
1380	1492.0803
1390	1492.1011
1400	1492.1242
1410	1492.1495
1420	1492.1771
1430	1492.2068
1440	1492.2387
1450	1492.2726
1460	1492.3087
1470	1492.3467
1480	1492.3868
1490	1492.4289
1500	1492.4729
1510	1492.5189
1520	1492.5667
1530	1492.6164
1540	1492.6679
1550	1492.7213
1560	1492.7764
1570	1492.8333
1580	1492.8919
1590	1492.9521
1600	1493.0141
1610	1493.0777
1620	1493.1430
1630	1493.2098
1640	1493.2782
1650	1493.3482
1660	1493.4196
1670	1493.4926
1680	1493.5671
1690	1493.6430
1700	1493.7204
1710	1493.7991
1720	1493.8793
1730	1493.9608
1740	1494.0437
1750	1494.1279
1760	1494.2134
1770	1494.3002
1780	1494.3882
1790	1494.4775
1800	1494.5681
1810	1494.6598
1820	1494.7528
1830	1494.8469
1840	1494.9422
1850	1495.0386
1860	1495.1361
1870	1495.2348
1880	1495.3345
1890	1495.4353
1900	1495.5372
1910	1495.6401
1920	1495.7440
1930	1495.8489
1940	1495.9548
1950	1496.0617
1960	1496.1695
1970	1496.2783
1980	1496.3881
1990	1496.4987
2000	1496.6103
2010	1496.7227
2020	1496.8360
2030	1496.9502
2040	1497.0652
2050	1497.1811
2060	1497.2978
2070	1497.4153
2080	1497.5336
2090	1497.6527
2100	1497.7725
